content,score
"Yang bintang satu goblog itu yakin gue mah. Lu sadar diri tolol, hp kentang lu itu kaga kuat maen game ini. Malah nyalahin developernya, gakapok kapok region indo di banned terus? Gara gara kalian yang suka kasih *1. Pake otak, sadardiri. Hp gakuat pake laptop atau pc kalo mereka semua ga kuat ya gausah maen. Maen dingdong aja sono.",5
Ini Kenapa Ya Server Nya Ko Jelek Banget Padahal Di Pake Game Lain Bagus² Aja Lancar² Aja Gk Ada Masalah Tapi Pas Log In Ke Game Ini Kok Malah Gk Bisa Log In Mana Ada Batasan Waktu Lagi Dari 10 Detik Klau Gk Bisa Juga Naik Ke 5 Menit Klau Gk Bisa Lagi Naik Lagi Ke 10 Menit Sumpah Sih Ini Game Rusak!!!!,1
Akun game saya kok ilang,1
Masih ada bugnya saat pembuatan rumah.Hewan juga terkadang masuk kerumah menembus dinding.Tolong diperbaiki ya sayang,5
Bahasa indonesia donng,3
sangat kecewa dengan nerf yang terjadi pada pet pinnapup pet yang hampir tidak bisa critical malah di nerf demagenya pada setiap skilnya demage yang di timbulkan sangatlah kecil kalau cuma bug mohon di perbaiki secepatnya,3
"Game seru bagus banyak kebebasan bisa bikin rumah dimana aja , engga ada kendala yg banyak kendala yah hp kentang",5
"kenapa npc sering hilang ,setiap misi tolong perbaikin donk gamenya padahal grafis full rata kanan tapi masih gk bisa",1
Udah lama gak main aku kira making bagus eh malah sama aja malah makin parah,1
"awal rilis game, saya maen enak enak aja kenapa update sekarang kok saya main, lagi pas milih server mau masuk gagal koneksi terus sampe menunggu 5menit dan ga bisa bisa tolong solusi kenapa?",1
No boat bro,5
Asik banget,5
DEV TOLONG PERBAIKI BUG PADA QUEST TERKADANG NPC PADA QUEST CHIYO FLAG TIDAK MUNCUL,5
"Game parah udah data download nya besar sampai gb plus gak sesuai banyak nyedatnya , sinyal tidak setabil dan banyak konsumsi data.",1
"klu bisa yang di udete fps nya tuh ,ini hbis updete mlah mangkin parah ngelek jaringan nya pdhl untuk geme lain jringn bgus ,jdi tolong jringn nya di perbaikin supaya geme ini gk bakal sepi👍🏻",3
"Buat. Segi grafik sih bagus tapi kalo adaa iyem free mah lebih menarik. Sih menurut Aku kerena udah taming best kadang malah best nya ilang ini bug apa gimana sihh MERESAHKAN , MEMPERSULITKANYA",3
Nice grafik,3
"Ku beri bintang 5 karena aku suka, namun ini game dari dulu kalau ada patch atau update selalu muncul Bug yang tidak lazim. Ingat ya! ""dari dulu"". Jadi buat yang baru mau main jangan kaget dengan hal itu. Iya ini game lebih ke fashion dan kalau mau kuat harus bersabar grinding sendiri atau bersama teman. Walau sebenarnya ini game type semi sandbox. Bebaskan aksimu. Aku suka semuanya walau banyak bugnya. Terimakasih sudah membuat game ini. Hidup di luar angkasa sungguh menarik.",5
Akun udah lama main eh malah ilang hadeehhh,1
"Update sama hal nya download baru 7 gb,,mau pensiun aja main game ini,,,rugi maen game ini habisin data aja, bye²",1
Force close terus di halaman awal,1
Kalau mau player lu comeback.Lu update server baru dan Map baru lah . Ini yg lu update cuma buat nyari cuan lu doang lol ....Parah....!!!,1
Gameny keren dan udh bisa dimainin!!,5
Game sialan setiap nangkep pet pasti dapetnya temp terus👎👎👎🤬🤬,1
Dah lah awalnya muat ram 4gb brjalan lancar..tapi sekarang ngblank karna update besar...udah tamat main chimeraland nya..,3
god job dev,5
DC Mulu dah jaringan bagus juga,1
"Buat kalian yg baru mau donload game ini mending gak usah, game dari dulu gak berubah, drop rate item rendah, player bnyak yg pensi, karena bosen cuma gitu2 aja dari dulu, update maintenance cuma nambah kostum, emang ini game foto model, yg di update skin kostum tiap maintenance, dave parah mata duitan, bau2 dategame",1
Bagus. Aku udah lv 72. Sempet pensi setahun. Dan instal lg,5
Niat update gak sih,1
"Sinyal drop, FPS drop, lag + frame bgt, grafik udah diatur smooth, game nya jg msh banyak bug Device : Realme c17, Ram 6 GB, internal 256 (Free Space 81 gb)",1
Makin kesini kok tambah parah sinyalnya dan bug juga makin banyak.. Mohon diperbaiki karena game ini menurut saya sangat keren.. Kalau sudah diperbaiki nanti saya tambha bintangnya oke terimakasih,3
Seru,5
"Versi sudah usang, suruh download lagi, total 7gb ada kali ini.... Parah",1
sangat luas,5
terbaik,5
"game open world pling complex, dri segla sistemnya",5
please fix the unstable internet network when playing this game if it's like this it will continue to close the game make sure the game disappears from the play store ok developer,5
Gameplay bagus terutama pvp dan pve nya. Sayang skin nya kurang menarik dan game kreator tidak kreatif dalam mengembangkan game dan tidak menyediakan fasilitas yang nyaman untuk komunitas player.,5
So boring with the gameplay,1
"nice, give us pet Ya Yu",5
coba chimeraland update terus sebanyak kali,5
Ampas banyak cheat dan bug,1
Dukung developer,5
Game nya terlalu besar dan terlebih kendala masalah signal yg selalu drop padahal signal wifi nya luar biasa Mohon di perbaiki bagian signal yg sering drop saat main,3
Nice,5
"Game nya bagus cuman sekarang sepi , temen2 pada pensi",5
"Banyak bug , server lag, dan ngak ada event. Cuma ada gacha yang menghabiskan amber",3
"Full bug, developer ga peduli gamenya penuh bug yg pentin rilis item mall baru dan cuan",1
Why always lag when in battle or hunting?,1
Halo! Saya mewakili dari server INDONESIA. kenapa server tidak setabil? Apa server di INDONESIA di batasi jumblah Player nya? Mohon di perbaiki,1
Optimalisasi jelek banget server ga di urus sayang banget padahal game bagus,1
Very good game but please update frequently and hold special interesting events so players don't get bored,5
Game terkeren. Dan sangat luar biasa dunia luas. Craft dan trade system yg unik. Mount yg sangat unik dan pengalaman yang sangat seru dan lengkap.,5
Kirain game survival jaman dinosaurus eh malam game tema china jelek bet,1
"Update lama dan selama 2th nih game ga ada event, sekalinya update bugnya ga ngotak pdhl update kostum doang",1
"Pd dasarnya lepas dari yg mungin utk grafik extreme di device anda berat, ini game mengangkat latar yg sangat epic. Lu bisa bayangi di dunia film avatar dah terwakili di game ini. Sampai disini paham? .kurasa tdk krna otak anda sudah terlalu terkontaminasi micin",5
"Game nya bagus bgt, tapi HP ku ngga support game ini. Sayang yah ram 6/64 masih tidak cocok. Mungkin processor nya yg kurang mantap",3
Maaf aku hapus dulu karena bersamaan dengan tiktok sinyal ngelek mohon maaf atas ketidaknyamanannya,1
Please fix server,5
"Kritik, perlu meningkatkan pengalaman bermain.",5
Please perbaiki sinyalnya dong.. Aku suka banget sama gamenya muaahh,5
Since bug Released Medusa Attendant.. Still not fixed I'm disappointed about this Game.,1
Lebih baik versi awal rilis game tidak terlalu berat dan fps tidak terlalu drop,1
"Game play nya oke semua ,cuman tolong dibaikan bug nya sama ditambah Quest Event nya biar kami pemain lama banyak yg balik lagi 🙏🙏sanggat disayang kan jika game nya sebagus ini mati event",5
"Terlalu banyak bugg yg tidak di perbarui, dan sering diadakan event biar pemain gak bosan dan gak banyak yang pensi",1
"Game ini bagus dalam segala hal fitur yang kompleks namun sangat disayangkan kendala bug yang terus terusan ada dan tidak kunjung diperbaiki, saya pernah kehilangan pet evolusi saya yang saya buat dengan susah payah, benar benar bug yang merugikan player sehingga saya putuskan untuk uinstal game chimeraland.",3
Game tolol,5
"21 April 2023, new bug in meditating. Cant challenge Hero to get Sigil",5
"Fix 1 bug then give lot of new bug. Today is the worst update ever, cant use some range weapon, cant repair and take off the attendant's weapon, already restrore and reebot but all is useless its really the worst service ever!",1
"Gamenya lumayan lah, tapi playernya dikit, developer tolong lh kembangin lagi",5
Aneh masak dah download lama² tapi gak bisa masuk karena server blom di buka,1
"Eventnya pelit banget, coba perbanyakan event gratisan biar ga pada pensi",1
Makasih ya gamenya bagus,5
"Gameplay sudh bagus , yg jdi problem masalah di server jaringan tidak mendukung",3
Saya awal nya bermain dengan lancar tapi mengapa sekarang bug dimana mana yang paling jelas pet power yang hilang entah kemana. tolong jika ingin game ini berkembang developer dan game master harus bekerja keras memperbaiki bug. TERIMAKASIH,1
"Kurang nya event membuat banyak player bosan, dan memilih untuk pensi, dan pensinya para player membuat income Dev berkurang, Jadi ngak mau gitu bikin update an yang seru biar yang cp besar ngak terlalu bosan dengan kegiatan yang hanya itu itu saja",3
game nya sagat bagus tapi tolong update terus sampai kaya chimeraland china pls 🥺,5
Lumayan,5
Rate gacha yang terlalu buruk,5
Gameplay nya fresh dan menarik cuma masih butuh beberapa perbaikan aja,5
"Makin banyak bug,Screen hitam😭",1
⏚⏃☌⎍⌇ ⍙⏃⌰⏃⎍⌿⎍⋏ ⋏☌⟒⌰⏃☌,5
Very nice game,5
"Tolong di optimalkan lagi, Jaringan sering drop",5
"Habis update ada apa lagi dengan server conection bagus lancar ping ijo main game lain lancar buka apk lain lancar tidak lemot tapi kenapa pas buka chimeraland malah reconecting terus hadeuh dulu gw main game ini nyaman aja tapi semenjak marge server banyak terus kendala gw sih berharap game ini di perbaiki lagi please lah game sebagus ini jan sampe down gara"" pemeliharaan server yang minim😔",1
Sinyal drop tidak ramahh,1
"This is game stupid bruh,server ngelag caracter diam tapi enemy atack,apa coba?stupid bruh bgst",1
"Gamenya bagus dari segi grafik dan gameplay nya. 👍Meski harus pakai hp spek tinggi tapi worth it untuk game yang bebas dan bisa segalanya ini. tapi interaksi antar player kurang hidup apalagi jika bermain dengan pasangan. Tolong dibuatkan interaksi antar player seperti bersalaman, berpelukan, gendong menggendong dan interaksi lainnya yg membuat player couple tertarik memainkan game ini. 🙏",5
"gamenya seru tapi tolong dong developer ringankan lagi gamenya,stiap main pasti frame drop",1
Saran aja klo bisa yang versi lite jangan di merger sama original.kasihan yang versi original kena imbasnya sering lag dan gak bisa gerak saat battle.dulu gak ada versi lite nya normal aja ni game chimeraland.boleh aja sih keluarin versi lite nya tapi jangan di campur/di merger.pisahin sendiri versi original sama versi lite nya.karena versi lite nya untuk di nikmati speak hp ram di bawah 4gb atau maaf hp kentang.sekian terima kasih.moga kedepanya update pisahin versi original sama versi lite nya,5
"bug artigra belum di betulkan, padahal saya sudah 1 minggu mengirim keluhan lewat email,tapi pihak developer tidak merespon dengan baik!",1
yosh,5
many bugs after update,1
Saya sangat kecewa kepada dev tentang sinyal kemarin sudah bagus tpi kenapa setiap update lagi sinyal semakin buruk tolong dev Dan teruntuk game sudah bagus Saya kasi rating b3,3
"Dev kemarin Axis jaringan nya ga stabil main chimeraland,knp sekarang Telkom ga stabil main ny,plis Dev jdi aku harus pake kartu apa lagi buat main nya? Tolong Dev di respon",3
Game burik log in aja nge stak gabisa masuk gagunaa ini game makin kesni makin parah bukan nya bnerin malah nmbah parah,1
"Awal2 enak2 aja, abis updte bug mulai muncul, fix dulu bugnya ntar dinaikin ke b5",1
"Asli ini game bagus,tapi lagnya minta ampun,masalah jaringannya mungkin paling mengerikan dari semua game",1
:) gamenya sangat bangus sekali. Tapi saya mempunyai kendala karena ping saya terlalu tinggi. Dulu saya bermain lancar dengan ping rendah sekarang jadi pingnya tinggi sekali. Tolong di fix :),3
Tolong perbaiki bug illus artigra yang menghilang secepatnya!,1
HELP ME FIX ALL BUGG!!!!,1
Bagus,5
Kalo HP masih kentang ... Jangan banyak alasan terimakasih ... Butuh spesifikasi matang minim snapdragon atau di atasnya terimakasih,5
Mantap,5
"Fix Illustrious Artigra bug ASAP, good game, worst developer",1
Gamenya bagus banget,5
"Tolong"" banget game di perbarui lagi biar bagus tambahain lagi item"" nya biar pemain gak bosen tambahin penduduk atau NPC tambahin kota dan wilayah hewan buas bangun kerajaan sendiri rekrut NPC sebagai bawahan dan dungouen biar ada pekerjaan lebih di perluas peta nya lagi dan di Fantasy kan tambahin alam bawah alam atas ras malaikat iblis dan hewan nya di bagi tingkatan biar gk sulit ada tingkatan kaisar raja dll pleas tolong di perbarui lagi",3
Kok draka giftnya eror ya suka ga muncul lagi buat klaimnya.. sama event terbarunya juga eror keknya.. harusnya dapet udah bisa klaim dari point event udah full 150.. jadi php:(( padahal aku suka mainnya apalagi klo ada event🥺,3
Tame pet nya gimana yah untuk yang 2.000tahun,3
Membosankan. Tangkap pet susah dapat telur,1
Bug jaringan nya tolong di perbaiki,3
"tolong perbaiki bug sinyalnya,main game sebelah lancar gx ada kendala main game ini ping naik mulu,padahal kalau main game yg lain ping dapet 20 kebawah lha ni game 100 lebih",3
Bnyj device yg g computiable Gw hbs ganti device r9c Nih game g ad di play store Niatny ganti device bisa main Ini malah nggk,3
please merger sever 101-121,5
Bad server connection,1
"Mending chimeraland tutup aja,dari pada dapat komentar pedas mulu karena soal jaringan GK pernah di benerin,jadi pilihan terbaik mungkin adalah game nya di tutup",1
Kok jaringan nya sekarang lemot main game lain enggak,1
"gamenya bagus sih, tapi sayang jaringannya ngelaq banget,padahan main game lain bagus jaringannya",1
"Bagusin lah jaringan nya Jngan up pet mulu Gara"" jaringan nya ngelaq semua pada pensi",1
Mantap cuma fps yang anjlok,5
Banyak bug pantas sepi,1
Aku jamin game ini game terbaik diantara game yang terbaik yang sudah ku coba.... Tapi aku tidak bisa menyalahkan devolover nya juga telah merancang game ini terlalu bagus ... Sayangnya hp saya belum sanggub menerima grafik dan memori sehingga game saya lag dan sering leg out ketika bermain. Saran saya buat pengaturan area perdowlod apa all dowlod ... Agar tidak memakan banyak RAm dan juga roam.,5
"Udah banyak bug blom di urus.... Sekarang ping tinggi..... Serasa di usir halus..... Bisa2nya development kaya gini pegang #4terlaris.......malu""in😶",1
Tingkatkan,5
Dulu lancar banget tanpa leg sekarang parah leg main games moba lain lancar d sini ping nya parah tolong d perbaiki jaringan nya,3
Aku kasih rating 5 kalau smobirdgon atau coracrab sudah direvamp secara global,1
"Mending level infinite dibubarin aja dah, ngurus game gak pernah bener. Tiap update nambah bug, item in game lebih mahal dari game lain pula",1
"kok sekarang jadi leq ya, saat build bangunan ngeleq, bikin atap atau dinding dipencet lama jadi terus lamban, gw lari malah balik lagi ketengah terus tiba tiba atap jadi satu persatu",3
"Teruntuk game chimeraland kenapa akhir-akhir ini saya maen chimeraland slalu nge-lag padahal sebelum sebelumnya lancar-lancar aja, tolong dong ini di perbaiki saya mau maen lagi, untuk game nya seru bagus lah tapi ini jaringannya kenapa",3
"Fantastic game, a cool prehistoric myth-themed open world fantasy game",5
Min gimana cara mengganti sandi akun nya min? Ga di tanggapi yaudah lah Pensi :(,3
sad,1
servernya sepi bngt,1
"parah ni game makin lama makin rusak koneksinya, lag parah, stabilitas ping sangat buruk",3
Tolong jangan hapus game ini,5
"Nyesel banget install ini game.. pas download 3,5GB eh suruh install lagi 800mb.. eh update lagi 7,8+GB. pas di maenin sering ngebug (nabrak angin lah, gk bisa gerak di tempat random, pas berantem skillnya sering gk bisa di pakai. Padahal devicenya udah Snapdragon 845. Hongkai impact, Apex,CODM,PUBG,MLBB lancar di hp. Nah ini chimera land makin lama makin blengsekk. Jgn download rugi coyy. Padahal kangen eh malah gendeng maen game beginian.",1
Lebih Bagus Chimeraland pas awal rilis Ga Lag Ga banyak Bug Padahal ini game paling bagus di playstore👍,5
"Sinyal leg parah sampai udah jauh jauh naik dragon horse masih di situ lagi kadang kadang malah gak bisa gerak padahal sinyal 4g full.tolong lah perbaiki bug ini,sangat merugikan bagi traveler yang bermain.masa iya masalah leg tiba tiba mati kan gak enak game nya.udah naik bukan lagi 3giga sinyal masih leg.bagusan yang dulu",1
Jaringan di optimalin lagi masa kudu pakai wifi baru bisa main klo pakai data selular ping ampe 24000,1
Main selalu lag pdhl main game lain lancar2 aja,1
good,1
Server parah kah?? Udah makin benci main gam ini??. Ya jelas lah pay to win dan ketemu sultan songong jadi mager main apalagi di tambah server lag parah drop nya juga susah dah lah calon tutup nih game... Byeee..,1
"Sangat disayangkan Saya sudah memainkan ini dari tahun 2022 dan makin update makin banyak bug.Dear Developer Focusing on bugs before, we are more concerned with gameplay. If you are comfortable with the gameplay, we will give suggestions for updates that make more sense",3
Pp,5
"Ayo dong buat gamenya lebih bagus dari segi bermainnya, jangan terlalu fokus ke skin",5
Sebenarnya gemnya bagus kalo gerafik nya super Dan kalo gem ini harus sinyal nya tinggi oke gitu aja,5
"sinyal full,FPS normal 25-30 ,ping nya bisa sampai 10.000+ ,padahal di game lain lancar",1
"Bbrp hari ini ping sering tiba2 tinggi bhkan smp 3000 an,, bkn hanya saya tp player lain jg merasakan hal yg sama...ini sgt tidak nyaman... Slain itu game ini sdh bagus",3
